都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
222119,WEB0b4cf6a3d8,静岡県,磐田市,夏休み子ども図書館体験メンバー募集,,,2026-08-08,2026-08-22,09:30,12:00,,「夏休み子ども図書館体験メンバー募集」は2026-08-08から2026-08-22に09:30から12:00に中央図書館開催予定です。詳細は出典URLをご確認ください。,,,,,,,中央図書館,,,34.729961,137.850621,,,,,,,https://www.city.iwata.shizuoka.jp/event/kodomo_kosodate/1008519.html,Web収集: 磐田市公式 イベント情報; source_id=src_d871bb09ad839e54; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222119,WEB9d60c3e7e5,静岡県,磐田市,クイズ道中 磐田文化財巡り,,,2026-07-25,2026-08-30,08:30,17:00,,「クイズ道中 磐田文化財巡り」は2026-07-25から2026-08-30に08:30から17:00に埋蔵文化財センター開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,埋蔵文化財センター,見付3678-1,,34.72921,137.851456,,,,,,,https://www.city.iwata.shizuoka.jp/event/moyooshi_matsuri/1013458.html,Web収集: 磐田市公式 イベント情報; source_id=src_d871bb09ad839e54; 説明生成=facts_only; privacy=public_facts_minimized,催し・祭り,,,,,
222119,WEBda15c61a3c,静岡県,磐田市,未来まちづくりワークショップ,,,2026-08-21,2026-08-21,09:00,12:00,,「未来まちづくりワークショップ」は2026-08-21に09:00から12:00に磐田市役所本庁舎1階 第1会議室（磐田市国府台3−1）開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,磐田市役所本庁舎1階 第1会議室（磐田市国府台3−1）,,,34.717903,137.851532,,,,,,,https://www.city.iwata.shizuoka.jp/event/kouza_kyoushitsu/1016751.html,Web収集: 磐田市公式 イベント情報; source_id=src_d871bb09ad839e54; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
