NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB0b4cf6a3d8,src_d871bb09ad839e54,磐田市公式 イベント情報,https://www.city.iwata.shizuoka.jp/event/kodomo_kosodate/1008519.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB9d60c3e7e5,src_d871bb09ad839e54,磐田市公式 イベント情報,https://www.city.iwata.shizuoka.jp/event/moyooshi_matsuri/1013458.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBda15c61a3c,src_d871bb09ad839e54,磐田市公式 イベント情報,https://www.city.iwata.shizuoka.jp/event/kouza_kyoushitsu/1016751.html,facts_only,,,,,,unknown,passed,public_facts_minimized
