NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB441ef9dcec,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-594.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBbcfcf35286,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-649.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBf57edf1e07,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-650.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB48461b1808,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-651.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0d38f16416,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-652.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0e79aba97c,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-654.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa99058f5ba,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-655.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB69b75db299,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4115/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB70bcdefb15,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4061/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc4638308b9,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4143/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3fe2e3b2ad,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4094/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0ee784699b,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4148/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB6069ae6e4b,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4138/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB2f22c8e0ef,src_d397976fe9a6369d,浜松市総合産業展示館,https://santen.biz/topics/4106/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB029b9f6fd0,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/44389/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4df470e9c4,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/44450/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd4cb55d5ab,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/43660/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB93b65ca50e,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/43645/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB88d50d9676,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/44234/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB21cc0498d2,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/44305/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBefeaa77aa6,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/43651/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0a53e621cc,src_61577befd763edc2,はままつフラワーパーク,https://e-flowerpark.com/news/event/43625/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa3968c5b9e,src_1b7f921072861f2f,秋葉山本宮秋葉神社,https://www.akihasanhongu.jp/news/index.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBff95f51037,src_35a3a1ec7e52e0cb,道の駅くんま水車の里,https://kunma.jp/8%e6%9c%88%e5%96%b6%e6%a5%ad%e6%97%a5%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4062e7fba5,src_35a3a1ec7e52e0cb,道の駅くんま水車の里,https://kunma.jp/%e8%87%a8%e6%99%82%e4%bc%91%e6%a5%ad%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b-2/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd623d3df5f,src_35a3a1ec7e52e0cb,道の駅くんま水車の里,https://kunma.jp/7%e6%9c%88%e5%96%b6%e6%a5%ad%e6%97%a5%e3%82%ab%e3%83%ac%e3%83%b3%e3%83%80%e3%83%bc%e8%a8%82%e6%ad%a3%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBeaa42a4218,src_35a3a1ec7e52e0cb,道の駅くんま水車の里,https://kunma.jp/5%e6%9c%88%e3%81%ae%e5%96%b6%e6%a5%ad%e6%97%a5%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB921a06d2e2,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/174a053f-bb85-4b16-aeaf-89bba0398bbd,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB111edfb67d,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/029546c1-153d-45f9-86e9-60e827bdd881,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBfb6bce359d,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/67ed9c1e-98d8-425d-be81-db764a783b0b,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB34c1de74e8,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/930f2fd5-1cd7-4cbd-af69-635539e92f67,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB1f8d233798,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/ccea37ae-14db-487f-99f6-e62cf1e90a65,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3923d05227,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/64fac6d7-e168-4ebb-92c8-7a4f0c58552c,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
