都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
232211,WEBecb38ca26f,愛知県,新城市,木トピア,,,2025-10-18,2025-10-18,10:00,14:30,,「木トピア」は2025-10-18に10:00から14:30に桜淵公園（JAまつり会場内）開催予定です。詳細は出典URLをご確認ください。,,,,,,,桜淵公園（JAまつり会場内）,愛知県新城市字東入船115番地,,34.898651,137.497971,,,,,,,https://www.city.shinshiro.lg.jp/sangyo/nogyo-ringyo/ringyo/mokutopia.html,Web収集: 新城市公式 観光・まつり; source_id=src_984ca835bc454ee3; 説明生成=facts_only; privacy=public_facts_minimized,体験・展示,新城市,,,,
232211,WEB2afa8dc586,愛知県,新城市,令和8年度設楽原決戦場まつり,,,2026-06-07,2026-06-07,11:00,11:10,,「令和8年度設楽原決戦場まつり」は2026-06-07に11:00から11:10に設楽原古戦場開催予定です。事前申込が必要です。詳細は出典URLをご確認ください。,,,,,,,設楽原古戦場,愛知県新城市竹広字信玄原552番地,,34.918446,137.52742,,,,2026-05-31,,事前申込が必要です。詳細は出典URLをご確認ください。,https://www.city.shinshiro.lg.jp/kanko/event/kanko/shitaragahara.html,Web収集: 新城市公式 観光・まつり; source_id=src_984ca835bc454ee3; 説明生成=facts_only; privacy=public_facts_minimized,祭り,新城市,,,,
232211,WEBa9d55bc300,愛知県,新城市,第61回長篠合戦のぼりまつり,,,2026-05-05,2026-05-05,06:00,,,「第61回長篠合戦のぼりまつり」は2026-05-05に06:00に新城市長篠地内長篠城址一帯開催予定です。料金は13200円です。詳細は出典URLをご確認ください。,13200円,,,,,,新城市長篠地内長篠城址一帯,愛知県新城市長篠地内長篠城址一帯,,34.932003,137.56572,,,,,,,https://www.city.shinshiro.lg.jp/kanko/event/kanko/nagashino.html,Web収集: 新城市公式 観光・まつり; source_id=src_984ca835bc454ee3; 説明生成=facts_only; privacy=public_facts_minimized,祭り・行事,長篠,,,,
