NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEBecb38ca26f,src_984ca835bc454ee3,新城市公式 観光・まつり,https://www.city.shinshiro.lg.jp/sangyo/nogyo-ringyo/ringyo/mokutopia.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB2afa8dc586,src_984ca835bc454ee3,新城市公式 観光・まつり,https://www.city.shinshiro.lg.jp/kanko/event/kanko/shitaragahara.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBa9d55bc300,src_984ca835bc454ee3,新城市公式 観光・まつり,https://www.city.shinshiro.lg.jp/kanko/event/kanko/nagashino.html,facts_only,,,,,,unknown,passed,public_facts_minimized
