都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
222160,WEB18fc2660dd,静岡県,袋井市,ドキドキ・アート体験！自分だけの作品を作ってみよう！ワークショップ参加者募集について,,,2026-07-14,2026-08-10,10:00,00:30,,「ドキドキ・アート体験！自分だけの作品を作ってみよう！ワークショップ参加者募集について」は2026-07-14から2026-08-10に10:00から00:30に静岡理工科大学教育棟5階504-1データサイエンス演習室開催予定です。料金は100円です。事前申込が必要です。詳細は出典URLをご確認ください。,100円,,,,,,静岡理工科大学教育棟5階504-1データサイエンス演習室,静岡県袋井市豊沢2200-2,,34.73632,137.957748,,,20人,2025-08-10,,事前申込が必要です。詳細は出典URLをご確認ください。,https://www.city.fukuroi.shizuoka.jp/event/14576.html,Web収集: 袋井市公式 イベント・催し; source_id=src_e0d5853d6273feea; 説明生成=facts_only; privacy=public_facts_minimized,ワークショップ,袋井市,,,,
222160,WEB9b8727d634,静岡県,袋井市,パブリックアート制作ワークショップ 参加者募集,,,2026-07-01,2026-07-21,13:30,15:30,,「パブリックアート制作ワークショップ 参加者募集」は2026-07-01から2026-07-21に13:30から15:30に袋井西コミュニティセンター 大ホール開催予定です。料金は無料です。事前申込が必要です。詳細は出典URLをご確認ください。,無料,,,,,,袋井西コミュニティセンター 大ホール,静岡県袋井市,,34.750278,137.925003,,,各日36人,2025-07-21,,事前申込が必要です。詳細は出典URLをご確認ください。,https://www.city.fukuroi.shizuoka.jp/event/14577.html,Web収集: 袋井市公式 イベント・催し; source_id=src_e0d5853d6273feea; 説明生成=facts_only; privacy=public_facts_minimized,ワークショップ,袋井市,,,,
222160,WEB936d12732d,静岡県,袋井市,袋井市はたちの集い,,,2027-01-10,2027-01-10,10:30,,,「袋井市はたちの集い」は2027-01-10に10:30にエコパアリーナ開催予定です。詳細は出典URLをご確認ください。,,,,,,,エコパアリーナ,,,34.7448244,137.9692296,,,,,,,https://www.city.fukuroi.shizuoka.jp/event/1553228848551.html,Web収集: 袋井市公式 イベント・催し; source_id=src_e0d5853d6273feea; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222160,WEBe1ac047ab4,静岡県,袋井市,婚活・恋活イベント情報はこちら！,,,2026-07-04,2026-07-04,10:00,12:30,,「婚活・恋活イベント情報はこちら！」は2026-07-04に10:00から12:30にさわやかアリーナ袋井市総合体育館開催予定です。料金は2000円です。詳細は出典URLをご確認ください。,2000円,,,,,,さわやかアリーナ袋井市総合体育館,袋井市久能1912－1,,34.762058,137.918518,,,20名,2026-06-30,,,https://www.city.fukuroi.shizuoka.jp/event/14599.html,Web収集: 袋井市公式 イベント・催し; source_id=src_e0d5853d6273feea; 説明生成=facts_only; privacy=public_facts_minimized,婚活・恋活,袋井市,,,,
222160,WEBa92e81a7f7,静岡県,袋井市,ふくろい応援デジタルクーポン 参加店舗募集,,,2026-06-24,2026-07-24,09:00,17:00,,「ふくろい応援デジタルクーポン 参加店舗募集」は2026-06-24から2026-07-24に09:00から17:00に袋井市役所東分庁舎（コスモス館）1階大会議室開催予定です。詳細は出典URLをご確認ください。,,,,,,,袋井市役所東分庁舎（コスモス館）1階大会議室,,,34.750278,137.925003,,,,,,,https://www.city.fukuroi.shizuoka.jp/event/14601.html,Web収集: 袋井市公式 イベント・催し; source_id=src_e0d5853d6273feea; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
