NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB18fc2660dd,src_e0d5853d6273feea,袋井市公式 イベント・催し,https://www.city.fukuroi.shizuoka.jp/event/14576.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB9b8727d634,src_e0d5853d6273feea,袋井市公式 イベント・催し,https://www.city.fukuroi.shizuoka.jp/event/14577.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB936d12732d,src_e0d5853d6273feea,袋井市公式 イベント・催し,https://www.city.fukuroi.shizuoka.jp/event/1553228848551.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBe1ac047ab4,src_e0d5853d6273feea,袋井市公式 イベント・催し,https://www.city.fukuroi.shizuoka.jp/event/14599.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBa92e81a7f7,src_e0d5853d6273feea,袋井市公式 イベント・催し,https://www.city.fukuroi.shizuoka.jp/event/14601.html,facts_only,,,,,,unknown,passed,public_facts_minimized
